date,value,num_positions,num_signals,num_agents,weights
2023-10-11,1232463.2411061956,12,60,11,"{'VTI': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'VOO': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'CRM': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'QQQ': 0.08333333333333334}"
2023-10-12,1225259.7144288437,12,60,11,"{'CRM': 0.08333333333333334, 'META': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'VOO': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'VTI': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'QQQ': 0.08333333333333334}"
2023-10-13,1206549.582461621,12,60,11,"{'ADBE': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'META': 0.08333333333333334, 'VTI': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'VOO': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'CRM': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'SPY': 0.08333333333333334}"
2023-10-16,1222036.7268025794,12,60,11,"{'QQQ': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'VOO': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'SPY': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'VTI': 0.08333333333333334, 'AAPL': 0.08333333333333334}"
2023-10-17,1220778.6358024203,12,60,11,"{'VTI': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'VOO': 0.08333333333333334, 'SPY': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'META': 0.08333333333333334, 'CRM': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'AAPL': 0.08333333333333334}"
2023-10-18,1198814.1253205487,12,60,11,"{'AMZN': 0.08333333333333334, 'SPY': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'META': 0.08333333333333334, 'VTI': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'VOO': 0.08333333333333334, 'QQQ': 0.08333333333333334}"
2023-10-19,1182229.6500919145,12,60,11,"{'VOO': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'SPY': 0.08333333333333334, 'VTI': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'META': 0.08333333333333334}"
2023-10-20,1162101.0913755237,12,60,11,"{'AMZN': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'VOO': 0.08333333333333334, 'META': 0.08333333333333334, 'QQQ': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'VTI': 0.08333333333333334, 'GOOGL': 0.08333333333333334}"
2023-10-23,1167358.9464942366,12,60,11,"{'VTI': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'VOO': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'CRM': 0.08333333333333334, 'AAPL': 0.08333333333333334, 'TSLA': 0.08333333333333334, 'SPY': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'PYPL': 0.08333333333333334}"
2023-10-24,1178202.2295524743,12,60,11,"{'CRM': 0.08333333333333334, 'AMZN': 0.08333333333333334, 'VTI': 0.08333333333333334, 'ADBE': 0.08333333333333334, 'NVDA': 0.08333333333333334, 'MSFT': 0.08333333333333334, 'NFLX': 0.08333333333333334, 'GOOGL': 0.08333333333333334, 'SPY': 0.08333333333333334, 'PYPL': 0.08333333333333334, 'VOO': 0.08333333333333334, 'META': 0.08333333333333334}"
